bottomdark_content,image,bottomdark_links,link,bottomlight_value_2,bottomlight_value_3,bottomlight_number/_source,bottomdark_value,bottomlight_value_1,bottomdark_content_numbers/_source,link/_text,link/_source,bottomdark_content_numbers,bottomdark_links/_text,bottomdark_links/_source,bottomlight_number,pageUrl
"1275 Cromwell Ave Rocky Hill, Connecticut, 06067-3427 United States official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Rocky+Hill&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://stillhillbrewery.com/,http://www.beeradvocate.com/beer/profile/40982/,-,-,2,[ Brewery ],-,1275; 06067; 3427,Still Hill Brewery,/beer/profile/40982/,1275; 6067; 3427,Rocky Hill; Connecticut; United States; official website,/place/list/?city=Rocky+Hill&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,2,http://www.beeradvocate.com/place/list/?start=20&c_id=US&s_id=CT&brewery=Y&sort=name
"5 Indian Neck Ave Branford, Connecticut, 06405-4615 United States phone: (203) 433-4545 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Branford&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://stonycreekbeer.com/,http://www.beeradvocate.com/beer/profile/30062/,13,3.58,23,"[ Brewery, Bar ]",3.58,5; 06405; 4615; 203; 433; 4545,Stony Creek Brewery,/beer/profile/30062/,5; 6405; 4615; 203; 433; 4545,Branford; Connecticut; United States; official website,/place/list/?city=Branford&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,23,http://www.beeradvocate.com/place/list/?start=20&c_id=US&s_id=CT&brewery=Y&sort=name
"180 Johnson St Middletown, Connecticut, 06457-2247 United States official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Middletown&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.stubbornbeauty.com/,http://www.beeradvocate.com/beer/profile/34141/,5,3.96,27,"[ Brewery, Bar ]",4.08,180; 06457; 2247,Stubborn Beauty Brewing Company,/beer/profile/34141/,180; 6457; 2247,Middletown; Connecticut; United States; official website,/place/list/?city=Middletown&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,27,http://www.beeradvocate.com/place/list/?start=20&c_id=US&s_id=CT&brewery=Y&sort=name
"22 Bayview Ave Unit 15 Stonington, Connecticut, 06378-1142 United States phone: (860) 857-1014 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Stonington&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://beerdbrewing.com/,http://www.beeradvocate.com/beer/profile/30321/,54,4.05,53,"[ Brewery, Bar ]",4.41,22; 15; 06378; 1142; 860; 857; 1014,The Beer'd Brewing Co.,/beer/profile/30321/,22; 15; 6378; 1142; 860; 857; 1014,Stonington; Connecticut; United States; official website,/place/list/?city=Stonington&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,53,http://www.beeradvocate.com/place/list/?start=20&c_id=US&s_id=CT&brewery=Y&sort=name
"1 Mohegan Sun Blvd Uncasville, Connecticut, 06382-1355 United States phone: (888) 226-7711 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Uncasville&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.mohegansun.com/entertainment/nightlife.html,http://www.beeradvocate.com/beer/profile/687/,19,-,0,"[ Brewery, Bar, Eatery ]",2.31,1; 06382; 1355; 888; 226; 7711,The Brew Pub at Mohegan Sun,/beer/profile/687/,1; 6382; 1355; 888; 226; 7711,Uncasville; Connecticut; United States; official website,/place/list/?city=Uncasville&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,0,http://www.beeradvocate.com/place/list/?start=20&c_id=US&s_id=CT&brewery=Y&sort=name
"254 Crown St New Haven, Connecticut, 06511-6610 United States phone: (203) 495-8924 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=New+Haven&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.barnightclub.com,http://www.beeradvocate.com/beer/profile/643/,73,3.8,10,"[ Brewery, Bar, Eatery ]",3.67,254; 06511; 6610; 203; 495; 8924,The Brü Rm. at BAR,/beer/profile/643/,254; 6511; 6610; 203; 495; 8924,New Haven; Connecticut; United States; official website,/place/list/?city=New+Haven&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,10,http://www.beeradvocate.com/place/list/?start=20&c_id=US&s_id=CT&brewery=Y&sort=name
"357 Salmon Brook St Granby, Connecticut, 06035-1804 United States phone: (860) 653-2739 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Granby&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.cbhgranby.com,http://www.beeradvocate.com/beer/profile/6578/,61,3.82,45,"[ Brewery, Bar, Eatery ]",4.01,357; 06035; 1804; 860; 653; 2739,The Cambridge House Brewpub,/beer/profile/6578/,357; 6035; 1804; 860; 653; 2739,Granby; Connecticut; United States; official website,/place/list/?city=Granby&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,45,http://www.beeradvocate.com/place/list/?start=40&c_id=US&s_id=CT&brewery=Y&sort=name
"45 Main St Putnam, Connecticut, 06260-1917 United States phone: (860) 928-3663 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Putnam&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.thecrossingsrestaurantandbrewpub.com/,http://www.beeradvocate.com/beer/profile/33644/,3,-,1,"[ Brewery, Bar, Eatery ]",3.1,45; 06260; 1917; 860; 928; 3663,The Crossings Restaurant & Brew Pub,/beer/profile/33644/,45; 6260; 1917; 860; 928; 3663,Putnam; Connecticut; United States; official website,/place/list/?city=Putnam&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,1,http://www.beeradvocate.com/place/list/?start=40&c_id=US&s_id=CT&brewery=Y&sort=name
"36 Main St Essex, Connecticut, 06426-1132 United States phone: (860) 767-1776 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Essex&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.griswoldinn.com,http://www.beeradvocate.com/beer/profile/25386/,7,-,1,"[ Brewery, Bar, Eatery ]",3.46,36; 06426; 1132; 860; 767; 1776,The Griswold Inn,/beer/profile/25386/,36; 6426; 1132; 860; 767; 1776,Essex; Connecticut; United States; official website,/place/list/?city=Essex&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,1,http://www.beeradvocate.com/place/list/?start=40&c_id=US&s_id=CT&brewery=Y&sort=name
"57 Lake Shore Blvd Stafford Springs, Connecticut, 06076-3433 United States phone: (860) 684-5481 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Stafford+Springs&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.hartfordbetterbeer.com,http://www.beeradvocate.com/beer/profile/20058/,-,3.3,5,[ Brewery ],-,57; 06076; 3433; 860; 684; 5481,The Hartford Better Beer Co.,/beer/profile/20058/,57; 6076; 3433; 860; 684; 5481,Stafford Springs; Connecticut; United States; official website,/place/list/?city=Stafford+Springs&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,5,http://www.beeradvocate.com/place/list/?start=40&c_id=US&s_id=CT&brewery=Y&sort=name
"780 Tolland St East Hartford, Connecticut, 06108-2727 United States phone: (860) 528-2200 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=East+Hartford&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.oldeburnsidebrewing.com,http://www.beeradvocate.com/beer/profile/823/,-,3.78,13,[ Brewery ],-,780; 06108; 2727; 860; 528; 2200,The Olde Burnside Brewing Company,/beer/profile/823/,780; 6108; 2727; 860; 528; 2200,East Hartford; Connecticut; United States; official website,/place/list/?city=East+Hartford&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,13,http://www.beeradvocate.com/place/list/?start=40&c_id=US&s_id=CT&brewery=Y&sort=name
"Bloomfield, Connecticut, 06002-7064, United States phone: (203) 530-8346 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Bloomfield&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.trylegalweed.com/,http://www.beeradvocate.com/beer/profile/33591/,-,4.19,1,[ Brewery ],-,06002; 7064; 203; 530; 8346,The Weed Company,/beer/profile/33591/,6002; 7064; 203; 530; 8346,Bloomfield; Connecticut; United States; official website,/place/list/?city=Bloomfield&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,1,http://www.beeradvocate.com/place/list/?start=40&c_id=US&s_id=CT&brewery=Y&sort=name
"78 Franklin St Norwich, Connecticut, 06360-5806 United States phone: (860) 949-8257 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Norwich&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; https://www.facebook.com/theseguysbrewing,http://www.beeradvocate.com/beer/profile/42281/,1,-,0,"[ Brewery, Bar, Eatery ]",4.95,78; 06360; 5806; 860; 949; 8257,These Guys Brewing Company,/beer/profile/42281/,78; 6360; 5806; 860; 949; 8257,Norwich; Connecticut; United States; official website,/place/list/?city=Norwich&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,0,http://www.beeradvocate.com/place/list/?start=40&c_id=US&s_id=CT&brewery=Y&sort=name
"16 Business Park Dr Branford, Connecticut, 06405-2924 United States phone: (203) 208-2827 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Branford&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.thimbleislandbrewery.com/,http://www.beeradvocate.com/beer/profile/30922/,46,3.91,16,"[ Brewery, Bar ]",4.14,16; 06405; 2924; 203; 208; 2827,Thimble Island Brewing Company,/beer/profile/30922/,16; 6405; 2924; 203; 208; 2827,Branford; Connecticut; United States; official website,/place/list/?city=Branford&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,16,http://www.beeradvocate.com/place/list/?start=40&c_id=US&s_id=CT&brewery=Y&sort=name
"16 Tobey Rd Bloomfield, Connecticut, 06002-3522 United States phone: (860) 242-3111 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Bloomfield&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.hookerbeer.com,http://www.beeradvocate.com/beer/profile/696/,32,3.83,23,"[ Brewery, Bar ]",3.93,16; 06002; 3522; 860; 242; 3111,Thomas Hooker Brewing Company,/beer/profile/696/,16; 6002; 3522; 860; 242; 3111,Bloomfield; Connecticut; United States; official website,/place/list/?city=Bloomfield&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,23,http://www.beeradvocate.com/place/list/?start=40&c_id=US&s_id=CT&brewery=Y&sort=name
"640 Hilliard St Ste 3104 Manchester, Connecticut, 06042-2770 United States phone: (860) 680-4105 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Manchester&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://topshelfbrewery.com/index.html,http://www.beeradvocate.com/beer/profile/32586/,11,3.66,28,"[ Brewery, Bar ]",3.68,640; 3104; 06042; 2770; 860; 680; 4105,Top Shelf Brewing Company,/beer/profile/32586/,640; 3104; 6042; 2770; 860; 680; 4105,Manchester; Connecticut; United States; official website,/place/list/?city=Manchester&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,28,http://www.beeradvocate.com/place/list/?start=40&c_id=US&s_id=CT&brewery=Y&sort=name
"1700 Stratford Ave Stratford, Connecticut, 06615-6419 United States phone: (203) 375-3361 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Stratford&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.tworoadsbrewing.com/,http://www.beeradvocate.com/beer/profile/30437/,116,3.82,41,"[ Brewery, Bar ]",3.95,1700; 06615; 6419; 203; 375; 3361,Two Roads Brewing Company,/beer/profile/30437/,1700; 6615; 6419; 203; 375; 3361,Stratford; Connecticut; United States; official website,/place/list/?city=Stratford&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,41,http://www.beeradvocate.com/place/list/?start=40&c_id=US&s_id=CT&brewery=Y&sort=name
"246 Main St Monroe, Connecticut, 06468-1171 United States official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Monroe&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.veraciousbrewing.com,http://www.beeradvocate.com/beer/profile/37942/,11,3.91,14,"[ Brewery, Bar ]",4.52,246; 06468; 1171,Veracious Brewing Company,/beer/profile/37942/,246; 6468; 1171,Monroe; Connecticut; United States; official website,/place/list/?city=Monroe&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,14,http://www.beeradvocate.com/place/list/?start=40&c_id=US&s_id=CT&brewery=Y&sort=name
"967 Main St Willimantic, Connecticut, 06226-2330 United States phone: (860) 423-6777 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Willimantic&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.willibrew.com,http://www.beeradvocate.com/beer/profile/477/,147,3.91,80,"[ Brewery, Bar, Eatery ]",4.3,967; 06226; 2330; 860; 423; 6777,Willimantic Brewing Co.,/beer/profile/477/,967; 6226; 2330; 860; 423; 6777,Willimantic; Connecticut; United States; official website,/place/list/?city=Willimantic&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,80,http://www.beeradvocate.com/place/list/?start=40&c_id=US&s_id=CT&brewery=Y&sort=name
